1;Bohemian Rhapsody;Queen;Rock;355
2;Billie Jean;Michael Jackson;Pop;294
3;Smells Like Teen Spirit;Nirvana;Grunge;301
4;Shape of You;Ed Sheeran;Pop;233
5;Blinding Lights;The Weeknd;Synthpop;200
6;Hotel California;Eagles;Rock;390
7;Imagine;John Lennon;Soft Rock;183
8;Thriller;Michael Jackson;Pop;357
9;Rolling in the Deep;Adele;Soul;228
10;Lose Yourself;Eminem;Hip Hop;326
11;Bohemian Rhapsody;Queen;Rock;355
12;Billie Jean;Michael Jackson;Pop;294
13;Smells Like Teen Spirit;Nirvana;Grunge;301
14;Shape of You;Ed Sheeran;Pop;233
15;Blinding Lights;The Weeknd;Synthpop;200
16;Hotel California;Eagles;Rock;390
17;Imagine;John Lennon;Soft Rock;183
18;Thriller;Michael Jackson;Pop;357
19;Rolling in the Deep;Adele;Soul;228
20;Lose Yourself;Eminem;Hip Hop;326
21;Bohemian Rhapsody;Queen;Rock;355
22;Billie Jean;Michael Jackson;Pop;294
23;Smells Like Teen Spirit;Nirvana;Grunge;301
24;Shape of You;Ed Sheeran;Pop;233
25;Blinding Lights;The Weeknd;Synthpop;200
26;Hotel California;Eagles;Rock;390
27;Imagine;John Lennon;Soft Rock;183
28;Thriller;Michael Jackson;Pop;357
29;Rolling in the Deep;Adele;Soul;228
30;Lose Yourself;Eminem;Hip Hop;326
31;Bohemian Rhapsody;Queen;Rock;355
32;Billie Jean;Michael Jackson;Pop;294
33;Smells Like Teen Spirit;Nirvana;Grunge;301
34;Shape of You;Ed Sheeran;Pop;233
35;Blinding Lights;The Weeknd;Synthpop;200
36;Hotel California;Eagles;Rock;390
37;Imagine;John Lennon;Soft Rock;183
38;Thriller;Michael Jackson;Pop;357
39;Rolling in the Deep;Adele;Soul;228
40;Lose Yourself;Eminem;Hip Hop;326
41;Bohemian Rhapsody;Queen;Rock;355
42;Billie Jean;Michael Jackson;Pop;294
43;Smells Like Teen Spirit;Nirvana;Grunge;301
44;Shape of You;Ed Sheeran;Pop;233
45;Blinding Lights;The Weeknd;Synthpop;200
46;Hotel California;Eagles;Rock;390
47;Imagine;John Lennon;Soft Rock;183
48;Thriller;Michael Jackson;Pop;357
49;Rolling in the Deep;Adele;Soul;228
50;Lose Yourself;Eminem;Hip Hop;326
51;Bohemian Rhapsody;Queen;Rock;355
52;Billie Jean;Michael Jackson;Pop;294
53;Smells Like Teen Spirit;Nirvana;Grunge;301
54;Shape of You;Ed Sheeran;Pop;233
55;Blinding Lights;The Weeknd;Synthpop;200
56;Hotel California;Eagles;Rock;390
57;Imagine;John Lennon;Soft Rock;183
58;Thriller;Michael Jackson;Pop;357
59;Rolling in the Deep;Adele;Soul;228
60;Lose Yourself;Eminem;Hip Hop;326
61;Bohemian Rhapsody;Queen;Rock;355
62;Billie Jean;Michael Jackson;Pop;294
63;Smells Like Teen Spirit;Nirvana;Grunge;301
64;Shape of You;Ed Sheeran;Pop;233
65;Blinding Lights;The Weeknd;Synthpop;200
66;Hotel California;Eagles;Rock;390
67;Imagine;John Lennon;Soft Rock;183
68;Thriller;Michael Jackson;Pop;357
69;Rolling in the Deep;Adele;Soul;228
70;Lose Yourself;Eminem;Hip Hop;326
71;Bohemian Rhapsody;Queen;Rock;355
72;Billie Jean;Michael Jackson;Pop;294
73;Smells Like Teen Spirit;Nirvana;Grunge;301
74;Shape of You;Ed Sheeran;Pop;233
75;Blinding Lights;The Weeknd;Synthpop;200
76;Hotel California;Eagles;Rock;390
77;Imagine;John Lennon;Soft Rock;183
78;Thriller;Michael Jackson;Pop;357
79;Rolling in the Deep;Adele;Soul;228
80;Lose Yourself;Eminem;Hip Hop;326
81;Bohemian Rhapsody;Queen;Rock;355
82;Billie Jean;Michael Jackson;Pop;294
83;Smells Like Teen Spirit;Nirvana;Grunge;301
84;Shape of You;Ed Sheeran;Pop;233
85;Blinding Lights;The Weeknd;Synthpop;200
86;Hotel California;Eagles;Rock;390
87;Imagine;John Lennon;Soft Rock;183
88;Thriller;Michael Jackson;Pop;357
89;Rolling in the Deep;Adele;Soul;228
90;Lose Yourself;Eminem;Hip Hop;326
91;Bohemian Rhapsody;Queen;Rock;355
92;Billie Jean;Michael Jackson;Pop;294
93;Smells Like Teen Spirit;Nirvana;Grunge;301
94;Shape of You;Ed Sheeran;Pop;233
95;Blinding Lights;The Weeknd;Synthpop;200
96;Hotel California;Eagles;Rock;390
97;Imagine;John Lennon;Soft Rock;183
98;Thriller;Michael Jackson;Pop;357
99;Rolling in the Deep;Adele;Soul;228
100;Lose Yourself;Eminem;Hip Hop;326
101;Tears;Sabrina Carpenter;Pop;280
